x	y	V_num	V_ana	error_abs	error_rel
1.05	0.1	0.9025	0.9025	0	0
1.1	0.1	1	1	0	0
1.15	0.1	1.103	1.102	4.441e-16	4.028e-16
1.2	0.1	1.21	1.21	6.661e-16	5.505e-16
1.25	0.1	1.323	1.322	4.441e-16	3.358e-16
1.3	0.1	1.44	1.44	4.441e-16	3.084e-16
1.35	0.1	1.563	1.562	4.441e-16	2.842e-16
1.4	0.1	1.69	1.69	8.882e-16	5.255e-16
1.45	0.1	1.823	1.822	8.882e-16	4.873e-16
1.5	0.1	1.96	1.96	2.22e-16	1.133e-16
1.55	0.1	2.103	2.103	0	0
1.6	0.1	2.25	2.25	0	0
1.65	0.1	2.402	2.402	4.441e-16	1.848e-16
1.7	0.1	2.56	2.56	8.882e-16	3.469e-16
1.75	0.1	2.723	2.722	4.441e-16	1.631e-16
1.8	0.1	2.89	2.89	4.441e-16	1.537e-16
1.85	0.1	3.062	3.062	0	0
1.9	0.1	3.24	3.24	4.441e-16	1.371e-16
1.95	0.1	3.423	3.423	0	0
1.05	0.2	0.7225	0.7225	0	0
1.1	0.2	0.81	0.81	1.11e-16	1.371e-16
1.15	0.2	0.9025	0.9025	3.331e-16	3.69e-16
1.2	0.2	1	1	4.441e-16	4.441e-16
1.25	0.2	1.103	1.103	4.441e-16	4.028e-16
1.3	0.2	1.21	1.21	2.22e-16	1.835e-16
1.35	0.2	1.323	1.323	2.22e-16	1.679e-16
1.4	0.2	1.44	1.44	6.661e-16	4.626e-16
1.45	0.2	1.563	1.562	4.441e-16	2.842e-16
1.5	0.2	1.69	1.69	2.22e-16	1.314e-16
1.55	0.2	1.822	1.823	8.882e-16	4.873e-16
1.6	0.2	1.96	1.96	8.882e-16	4.532e-16
1.65	0.2	2.102	2.103	8.882e-16	4.224e-16
1.7	0.2	2.25	2.25	1.776e-15	7.895e-16
1.75	0.2	2.402	2.403	1.776e-15	7.394e-16
1.8	0.2	2.56	2.56	1.332e-15	5.204e-16
1.85	0.2	2.722	2.723	8.882e-16	3.262e-16
1.9	0.2	2.89	2.89	0	0
1.95	0.2	3.062	3.063	8.882e-16	2.9e-16
1.05	0.3	0.5625	0.5625	0	0
1.1	0.3	0.64	0.64	0	0
1.15	0.3	0.7225	0.7225	1.11e-16	1.537e-16
1.2	0.3	0.81	0.81	2.22e-16	2.741e-16
1.25	0.3	0.9025	0.9025	1.11e-16	1.23e-16
1.3	0.3	1	1	0	0
1.35	0.3	1.103	1.103	4.441e-16	4.028e-16
1.4	0.3	1.21	1.21	8.882e-16	7.34e-16
1.45	0.3	1.323	1.322	8.882e-16	6.716e-16
1.5	0.3	1.44	1.44	8.882e-16	6.168e-16
1.55	0.3	1.563	1.562	4.441e-16	2.842e-16
1.6	0.3	1.69	1.69	6.661e-16	3.942e-16
1.65	0.3	1.822	1.822	4.441e-16	2.437e-16
1.7	0.3	1.96	1.96	1.554e-15	7.93e-16
1.75	0.3	2.102	2.103	1.776e-15	8.449e-16
1.8	0.3	2.25	2.25	8.882e-16	3.947e-16
1.85	0.3	2.402	2.403	1.332e-15	5.545e-16
1.9	0.3	2.56	2.56	4.441e-16	1.735e-16
1.95	0.3	2.722	2.723	1.332e-15	4.894e-16
1.05	0.4	0.4225	0.4225	0	0
1.1	0.4	0.49	0.49	0	0
1.15	0.4	0.5625	0.5625	2.22e-16	3.947e-16
1.2	0.4	0.64	0.64	3.331e-16	5.204e-16
1.25	0.4	0.7225	0.7225	4.441e-16	6.147e-16
1.3	0.4	0.81	0.81	4.441e-16	5.483e-16
1.35	0.4	0.9025	0.9025	6.661e-16	7.381e-16
1.4	0.4	1	1	8.882e-16	8.882e-16
1.45	0.4	1.103	1.102	8.882e-16	8.056e-16
1.5	0.4	1.21	1.21	4.441e-16	3.67e-16
1.55	0.4	1.323	1.322	4.441e-16	3.358e-16
1.6	0.4	1.44	1.44	4.441e-16	3.084e-16
1.65	0.4	1.562	1.562	4.441e-16	2.842e-16
1.7	0.4	1.69	1.69	1.11e-15	6.569e-16
1.75	0.4	1.822	1.823	8.882e-16	4.873e-16
1.8	0.4	1.96	1.96	2.22e-16	1.133e-16
1.85	0.4	2.102	2.103	8.882e-16	4.224e-16
1.9	0.4	2.25	2.25	4.441e-16	1.974e-16
1.95	0.4	2.402	2.403	8.882e-16	3.697e-16
1.05	0.5	0.3025	0.3025	2.22e-16	7.34e-16
1.1	0.5	0.36	0.36	1.665e-16	4.626e-16
1.15	0.5	0.4225	0.4225	2.22e-16	5.255e-16
1.2	0.5	0.49	0.49	2.776e-16	5.664e-16
1.25	0.5	0.5625	0.5625	3.331e-16	5.921e-16
1.3	0.5	0.64	0.64	3.331e-16	5.204e-16
1.35	0.5	0.7225	0.7225	3.331e-16	4.61e-16
1.4	0.5	0.81	0.81	7.772e-16	9.595e-16
1.45	0.5	0.9025	0.9025	5.551e-16	6.151e-16
1.5	0.5	1	1	4.441e-16	4.441e-16
1.55	0.5	1.103	1.103	2.22e-16	2.014e-16
1.6	0.5	1.21	1.21	2.22e-16	1.835e-16
1.65	0.5	1.322	1.322	2.22e-16	1.679e-16
1.7	0.5	1.44	1.44	8.882e-16	6.168e-16
1.75	0.5	1.562	1.562	6.661e-16	4.263e-16
1.8	0.5	1.69	1.69	4.441e-16	2.628e-16
1.85	0.5	1.822	1.823	4.441e-16	2.437e-16
1.9	0.5	1.96	1.96	0	0
1.95	0.5	2.102	2.103	1.776e-15	8.449e-16
1.05	0.6	0.2025	0.2025	0	0
1.1	0.6	0.25	0.25	0	0
1.15	0.6	0.3025	0.3025	1.11e-16	3.67e-16
1.2	0.6	0.36	0.36	2.22e-16	6.168e-16
1.25	0.6	0.4225	0.4225	3.331e-16	7.883e-16
1.3	0.6	0.49	0.49	3.886e-16	7.93e-16
1.35	0.6	0.5625	0.5625	5.551e-16	9.869e-16
1.4	0.6	0.64	0.64	8.882e-16	1.388e-15
1.45	0.6	0.7225	0.7225	9.992e-16	1.383e-15
1.5	0.6	0.81	0.81	9.992e-16	1.234e-15
1.55	0.6	0.9025	0.9025	6.661e-16	7.381e-16
1.6	0.6	1	1	4.441e-16	4.441e-16
1.65	0.6	1.103	1.102	8.882e-16	8.056e-16
1.7	0.6	1.21	1.21	2.22e-16	1.835e-16
1.75	0.6	1.323	1.322	4.441e-16	3.358e-16
1.8	0.6	1.44	1.44	4.441e-16	3.084e-16
1.85	0.6	1.562	1.562	0	0
1.9	0.6	1.69	1.69	8.882e-16	5.255e-16
1.95	0.6	1.823	1.823	8.882e-16	4.873e-16
1.05	0.7	0.1225	0.1225	4.163e-17	3.399e-16
1.1	0.7	0.16	0.16	5.551e-17	3.469e-16
1.15	0.7	0.2025	0.2025	3.053e-16	1.508e-15
1.2	0.7	0.25	0.25	3.886e-16	1.554e-15
1.25	0.7	0.3025	0.3025	4.441e-16	1.468e-15
1.3	0.7	0.36	0.36	4.441e-16	1.234e-15
1.35	0.7	0.4225	0.4225	5.551e-16	1.314e-15
1.4	0.7	0.49	0.49	9.437e-16	1.926e-15
1.45	0.7	0.5625	0.5625	8.882e-16	1.579e-15
1.5	0.7	0.64	0.64	8.882e-16	1.388e-15
1.55	0.7	0.7225	0.7225	7.772e-16	1.076e-15
1.6	0.7	0.81	0.81	7.772e-16	9.595e-16
1.65	0.7	0.9025	0.9025	6.661e-16	7.381e-16
1.7	0.7	1	1	4.441e-16	4.441e-16
1.75	0.7	1.103	1.102	4.441e-16	4.028e-16
